"","baseMean","lgFC_PMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Cltb",67.491116394595,-0.758886482918532,0.164043062521385,-4.62614188771074,3.72540133380547e-06,3.90397223773921e-05
"Gm867",1.83954830530352,-6.03651563335617,1.30491693950255,-4.6259769113407,3.72836833996484e-06,3.90447847674266e-05
"Ints3",107.7597319078,0.590097724817249,0.127620729797853,4.62383913453516,3.76702048957167e-06,3.94232989850713e-05
"I730030J21Rik",12.0213164315717,-1.60633579969413,0.347570831821936,-4.62160702977826,3.80778794346176e-06,3.97705107530069e-05
"Mrc1",19.7588822266365,-4.9427434175777,1.06948173484303,-4.62162490161942,3.80745985656808e-06,3.97705107530069e-05
"Slc9a8",103.670657605161,-0.951638640562627,0.205907657382041,-4.62167678784747,3.80650749539935e-06,3.97705107530069e-05
"B4galt6",80.3348395047021,1.49255325905634,0.323015035462692,4.62069283220326,3.82460675519725e-06,3.99196504548111e-05
"Ccs",63.1549730314746,-0.928051076327884,0.200878970891041,-4.61995136778786,3.83830001065129e-06,4.00359906220489e-05
"Cxcl12",2.15079430524502,-5.69912420062021,1.2336704649848,-4.61964873309211,3.84390251781025e-06,4.006784063492e-05
"Cndp2",164.537943262502,-1.00237912796412,0.217263810706279,-4.61364975927467,3.95658939317377e-06,4.12151283441342e-05
"Sh3bp4",9.07682732009992,2.04940666835207,0.444276218095711,4.61291103344758,3.97068288652766e-06,4.13345458896214e-05
"Por",231.700583830496,-0.769845356008667,0.167035607602355,-4.60886973178416,4.04863890222015e-06,4.21181700225007e-05
"Slc48a1",372.734987723603,-0.787791549831261,0.171051969525842,-4.60556842470173,4.11340699252459e-06,4.27636537800887e-05
"Rhoa",743.011497396135,-0.460412778935273,0.0999992485705456,-4.60416238638503,4.14129241926623e-06,4.30250994966595e-05
"Polg",119.309249748745,-0.658361401761053,0.143069955887305,-4.60167473791379,4.19107338221296e-06,4.35135287285373e-05
"Apbb1ip",592.695700211499,-0.439931445575443,0.0956343433975901,-4.60014080659782,4.22205453192365e-06,4.37773583029735e-05
"Nsd3",277.205509104784,0.593910388101117,0.129103232366372,4.6002751225911,4.21933297948943e-06,4.37773583029735e-05
"Gm20161",3.7103678039586,-5.37556423676845,1.16895068126538,-4.59862363992075,4.25291287912742e-06,4.40682515141753e-05
"Arpc1b",2053.64608406475,-1.12593540791373,0.244859725709996,-4.59828746703429,4.25977964238188e-06,4.40812878200137e-05
"Fyb2",2.47450975749862,5.39849248730125,1.17400100953676,4.59837124793565,4.25806731657671e-06,4.40812878200137e-05
"Ube2i",37.2493112888152,1.48560495448669,0.323128906727332,4.59756129382847,4.27464894151873e-06,4.42060570471927e-05
"Smim3",185.086555168877,0.712834175604179,0.155107709045992,4.59573660128533,4.3122315997827e-06,4.4563200638638e-05
"Trir",513.65031261853,-0.558616181621233,0.121554309534936,-4.59560984516703,4.31485408562931e-06,4.4563200638638e-05
"Glo1",92.0817499522667,-0.945660602336749,0.205832869687017,-4.59431287031411,4.34177545016391e-06,4.48117979652834e-05
"Prmt1",349.980744909411,-0.641303051474469,0.139632251129255,-4.59280034725521,4.37337424932599e-06,4.51083135335664e-05
"Il1r1",15.1191324362626,1.51003098038976,0.328844446167707,4.59193092049261,4.39163744012415e-06,4.52669828992206e-05
"Tspan9",7.1857839424646,-2.57356643742102,0.56057838439373,-4.59091272347996,4.4131186013203e-06,4.54585919358806e-05
"Prcp",164.434006267534,-0.620217208625547,0.135161706829507,-4.58870506428193,4.46004043982636e-06,4.59118373763134e-05
"Tbcc",84.3014637462752,0.713543999373848,0.155512354720295,4.5883428403951,4.46778468878423e-06,4.59614578030101e-05
"Ifit1bl1",103.85088148567,1.98698413621301,0.43338138152617,4.58483963758609,4.54335001217847e-06,4.67082530028995e-05
"Dab2ip",8.34944720820255,-1.88232127833104,0.410572621519233,-4.58462444808407,4.54803142082442e-06,4.67258208522478e-05
"Acoxl",5.29887677535516,-2.85289158696917,0.62239158971209,-4.58375664794713,4.5669571910109e-06,4.68896146868063e-05
"Scamp5",4.07385824328034,-2.84884800949777,0.621592496894058,-4.58314413982271,4.58036071543617e-06,4.69658774207053e-05
"Tpst2",246.653774947229,-0.484445701494473,0.105698998410513,-4.58325725673375,4.57788254264348e-06,4.69658774207053e-05
