"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Ptpn23",109.640745518847,1.18777572277932,0.202929829004796,5.85313518768722,4.82391697795585e-09,6.99254891265702e-08
"Aida",198.151015798907,-0.898762337503068,0.153596422349535,-5.85145359348136,4.87295254340578e-09,7.05739437641178e-08
"Orai3",128.185607662291,-0.692638859902791,0.118376623103303,-5.85114562102646,4.88198546751435e-09,7.06424158169691e-08
"Lrch1",124.673715524712,-0.796041087658168,0.136081019141812,-5.84975842096394,4.92287483622931e-09,7.11086735807102e-08
"Vps11",125.089647629581,0.821202889727484,0.140380363488828,5.84984159691851,4.92041376321121e-09,7.11086735807102e-08
"Psmb6",709.224308683708,0.719317363123356,0.122990698254823,5.84855093377069,4.95873807505096e-09,7.15637054296493e-08
"Ilf3",206.668878928112,0.886254245724406,0.151554768671204,5.84774899196424,4.98269667037317e-09,7.18462826574282e-08
"Hnrnpu",464.225487026939,0.560829761241969,0.0959228545774359,5.8466750568732,5.01495774577599e-09,7.22479733542038e-08
"Apex1",198.28702598657,0.785852372463404,0.134438122061603,5.84545782410815,5.05176924135325e-09,7.27144574397943e-08
"E230029C05Rik",10.8357040018977,-3.8910187880152,0.665787112206975,-5.84423867130308,5.08890228413165e-09,7.31847480984367e-08
"Fasn",291.946837930312,1.15970053345185,0.198507888039792,5.84208791350084,5.15505874048725e-09,7.40712424454074e-08
