"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Pttg1",240.611995499601,2.60484710717251,0.261240182985936,9.97108131451871,2.03995666028791e-23,9.21231424078224e-22
"Zdhhc14",42.1203748185747,-4.08068120953344,0.409771278370741,-9.95843638860761,2.31677655834382e-23,1.04208977336616e-21
"Slc31a2",577.682627000105,2.66469204048416,0.267989712431563,9.94326243461547,2.69841908112724e-23,1.20895574247341e-21
"Adam17",673.547268169337,1.60316980887104,0.161271545735787,9.94081008870303,2.76568763482389e-23,1.23421532837515e-21
"Arrb1",111.336675719108,-2.69651549725679,0.271403606272114,-9.93544461068516,2.91870951480446e-23,1.29739499412975e-21
"Stxbp1",173.208006860029,2.28798101684536,0.230525230198553,9.92507854725798,3.23847651326054e-23,1.43391137803938e-21
"Aff1",276.478862435315,2.00035553265395,0.201582062482282,9.92328140719252,3.29733884423811e-23,1.45429322176805e-21
"Slc43a2",196.628665030637,-2.2644799689885,0.228717222915822,-9.90078464629628,4.13021721127553e-23,1.81457411200807e-21
"Slc26a11",39.2756417456386,-4.69282089554953,0.474893105716819,-9.88184675468396,4.99045948217855e-23,2.18404858032795e-21
"Mtmr14",292.705527831316,2.67526527481092,0.271631026127847,9.84889433636264,6.93021376235431e-23,3.02130665370331e-21
"Idh1",264.800324967907,-2.243901447011,0.228806400024397,-9.80698724673673,1.05058379089103e-22,4.56259282365894e-21
"Tent4a",243.504528707083,3.08745057392201,0.314864017714735,9.80566339822042,1.0644523246363e-22,4.60517828234828e-21
"Herc6",75.9620188454192,4.66116008174566,0.476607868067574,9.7798638965918,1.37395179157722e-22,5.92157549715887e-21
"Ptges",174.567071881424,4.65606050080723,0.47770998343074,9.74662590756235,1.90701308543165e-22,8.18787625885142e-21
"Ypel3",97.5737365075106,-3.36952424903987,0.346037769404953,-9.73744644936912,2.08733507859955e-22,8.92828042110411e-21
"Cxcl2",18357.3994404015,6.57387589386579,0.675910851120924,9.7259511116943,2.33710933435222e-22,9.95907304694827e-21
"Slc11a2",349.707612938122,1.98267884855489,0.20438477884008,9.70071675497045,2.99387975170072e-22,1.27099726537557e-20
"Prpf38a",194.399261608068,2.66401910230242,0.275034140591421,9.68613967914614,3.45335196422262e-22,1.46058748188296e-20
"Aida",216.689578928789,2.10862108449595,0.217876590984039,9.67805249280048,3.73767811051569e-22,1.57496585065782e-20
"Hdac5",80.6169151747105,-2.80259185039811,0.290155621591189,-9.6589265961105,4.50560001663296e-22,1.89151763661239e-20
"Flrt3",137.012447806846,4.60673505352417,0.477732548192868,9.64291646225528,5.26698815759149e-22,2.20300039728043e-20
"Gbp9",69.1430008213678,4.88298517771889,0.506605066608765,9.638642602621,5.49092252074549e-22,2.28822083722978e-20
"Pcgf5",179.196645213915,3.15640318049525,0.327505851412913,9.63770011093852,5.54155951183699e-22,2.30086362881584e-20
"Mllt6",345.486921561308,2.11659480744921,0.219704921395586,9.63380698986807,5.75566666843714e-22,2.38103947761807e-20
"Epha4",67.2871708045218,4.69197454510853,0.487398707760234,9.62656336671424,6.17605104930244e-22,2.54565595068521e-20
