"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Upf3b",65.7849274428311,-0.40475985937925,0.174161780969837,-2.32404524761578,0.0201230690736284,0.0422595089229292
"Adcy7",290.633347076499,0.456710026791517,0.196624791376854,2.32274894530558,0.0201926432197896,0.0424000142882566
"Steep1",15.8425588545407,0.811696787424497,0.349712823567367,2.321038099617,0.0202847876739942,0.0425878688361647
"Gm6863",31.8035438058891,-1.22689204723411,0.528644015175618,-2.32082840628873,0.0202961067471742,0.0426060034490488
"Tcea1-ps1",22.6701564179061,-1.21215179781506,0.522336729706611,-2.32063289613178,0.0203066651878953,0.0426225367464291
"Hspa14",108.954845196074,-0.417839581143645,0.180101445156251,-2.32002347777464,0.0203396073136566,0.0426860415541791
"St8sia4",71.6052694594865,-0.708227544622386,0.305307944655979,-2.31971541199302,0.0203562775501076,0.0427153848380427
"Abcg3",2.13721817337253,-3.57838793349269,1.54264218004075,-2.31964870388684,0.0203598888677396,0.0427173213019298
"Snrpd2",194.862551881295,-0.580680883417539,0.250386722443213,-2.31913608577721,0.0203876586732295,0.042769937768543
"Zfp282",7.12774167015653,-1.40435211847757,0.605671534341978,-2.31866950789309,0.0204129630798933,0.0428173690265906
"Eif3i",526.641668889721,-0.287169977699182,0.123857169436002,-2.3185575692295,0.0204190380395833,0.0428244582115813
"Rfxank",30.5821778990097,-0.61726001814111,0.26626071678603,-2.3182541742992,0.020435511343533,0.0428533508957893
"Gm37728",7.99676586900722,-1.94416529631493,0.838699119382705,-2.31807241880243,0.0204453855947142,0.0428683995400387
"Gm26885",0.969532323575699,-4.62650085154221,1.99643991072351,-2.31737545752908,0.0204832880713433,0.0429422040065409
"Casp4",44.8673963259777,-1.40543748374498,0.606756705899183,-2.31631141457628,0.0205412715510929,0.0430580822790654
"Il17f",27.9189818354519,-3.03078579254288,1.3092724066879,-2.31486264971392,0.0206204499903739,0.0432183524465178
"Wdr44",22.4589629262216,-0.722487801027269,0.312197424281191,-2.31420167123652,0.0206566623484684,0.0432885397065174
"Cox11",44.256450689352,0.564087603997756,0.24376198676691,2.31409175597648,0.0206626895381686,0.0432954601176264
"Matcap1",4.52031163214197,-1.4730257406351,0.636600176591431,-2.31389464659304,0.0206735018471666,0.043312403856755
"Nip7",21.9678539446882,-0.937636625307887,0.405238532489904,-2.31378941076204,0.0206792765108826,0.0433187903073716
"4933412L11Rik",1.6910153710643,-3.54226422467394,1.53140844865025,-2.31307606262457,0.0207184575447035,0.0433947981021923
"Vps28",582.656057570877,-0.35619475871641,0.153994912103362,-2.31302939721365,0.0207210229216019,0.0433947981021923
"Gm6055",7.41841429552302,-1.84067248068087,0.795815742250059,-2.31293801185262,0.0207260475281001,0.0433996005764341
"Arhgef2",234.122799307007,-0.334561138826792,0.144675064485103,-2.31250036084305,0.0207501254538212,0.0434442934952913
"Btf3",48.9991935007263,-0.504776438947823,0.218327007246061,-2.31202014498795,0.0207765731922617,0.0434939356326544
"4933431E20Rik",1.68585034566382,2.59772252110611,1.12359751044635,2.31196891854465,0.0207793962064063,0.0434941149155038
"A230087F16Rik",1.05952994552744,-3.5879294620827,1.55215034805371,-2.31158628839128,0.0208004929710766,0.0435298431288053
"Psma1",107.644022804141,0.553966694987736,0.239651518023821,2.31155095346683,0.020802442145166,0.0435298431288053
"Tubb4b-ps1",3.29912387045482,-2.35373855516861,1.01826868083389,-2.31151031105177,0.0208046842922869,0.0435298431288053
"Ccnjl",0.703643863746797,-4.27829740855553,1.8513405993829,-2.31091859055086,0.0208373519977191,0.0435924537053008
"Dcun1d1",72.5435479331306,-0.503937042257619,0.218108854283256,-2.31048411085211,0.0208613672114702,0.043634880495626
"Zfp41",8.18253930926988,0.999369825656159,0.432542931665587,2.31045233315431,0.0208631246223973,0.043634880495626
"Hinfp",14.9026589775837,-0.735114408404827,0.318177311527189,-2.31039229314128,0.0208664453842797,0.0436360819572018
"Ostf1",1375.13019758541,0.251153528360269,0.108749102554741,2.3094767907059,0.0209171381407033,0.0437363347700532
"9430081H08Rik",2.77859257376798,-1.69047554132988,0.732025155445226,-2.30931345563079,0.020926193524731,0.043747388426886
"Cnih2",1.39471572473489,-2.60525588353485,1.12816700140412,-2.30928211895256,0.0209279312375078,0.043747388426886
"Abitram",27.3673373647253,-0.651357703398311,0.282084992598395,-2.30908315043066,0.0209389675731041,0.0437647008378126
"B3gnt7",4.21035190983483,-1.63664482304343,0.709036732730141,-2.30826521038133,0.0209843901639499,0.0438538702242536
"Kcnab1",3.13399200553725,2.76432411329388,1.19771977865026,2.30798903263422,0.0209997464963976,0.0438801909628171
"Cops5",227.347515617291,0.384755327362267,0.166798896869303,2.30670187023927,0.0210714459272984,0.044024221477823
"Rbm14",31.7189653980685,-0.617324078049876,0.267629649676056,-2.30663560183671,0.0210751430745903,0.0440261567594222
"Gm4478",1.59330924708464,-2.95596877699734,1.28182703713795,-2.30605900121859,0.021107335771628,0.0440876111575388
"Radx",1.91686986263421,2.11284802648669,0.916313914879443,2.30581244285117,0.0211211146605329,0.0441105929076245
