"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Mcoln1",136.307854296288,-1.22356069417176,0.271846237668314,-4.50092929247986,6.76570114130788e-06,3.26367451629024e-05
"Pgm2",56.3980515488841,-1.0962782266973,0.243629548901343,-4.49977530082458,6.80253294908345e-06,3.28038139790212e-05
"Ncs1",12.8320068196077,-3.18148056372533,0.707461147727398,-4.49703927055967,6.89062648979582e-06,3.32178941731921e-05
"Trappc2l",35.36068930923,-1.71685839040524,0.381845157250619,-4.49621622221702,6.91733945037356e-06,3.3335902905013e-05
"Ccdc88b",191.355600715422,1.14781095810355,0.255313839504918,4.49568640826242,6.93458753243468e-06,3.3408237224528e-05
"Alpl",8.50824609723758,5.21992526994941,1.16153503734899,4.49398864614796,6.99013568699288e-06,3.36649806803384e-05
"Papolg",26.7726791438213,1.79430647939237,0.399392255527798,4.49259206846959,7.03614833777795e-06,3.38756496584954e-05
"Mrpl27",180.49799881917,-0.794297185657459,0.176807345918294,-4.49244448262076,7.04102769623801e-06,3.38882097279434e-05
"Cytip",23.0775435985474,2.33512328864419,0.519970154591468,4.4908794630316,7.09296856145367e-06,3.4127193997323e-05
"Agfg2",40.8636566375177,-1.84230004422738,0.410571970725198,-4.4871549340626,7.21805849699791e-06,3.47178611239748e-05
"Gatad2b",52.9472141411484,1.29098397741588,0.287739616656586,4.48663966546064,7.2355292595181e-06,3.47906811205888e-05
"Smad4",224.54947893804,0.810622706122865,0.180679665765497,4.48651873850026,7.23963527956228e-06,3.47992130587656e-05
"Casp4",44.8673963259777,3.30901014428048,0.737661340442274,4.48581206966401,7.26367449460641e-06,3.4903522804894e-05
"Cisd2",123.623127203692,-0.882537772647831,0.196754197980754,-4.48548382553017,7.27486653559097e-06,3.49460518325379e-05
"Dolk",39.9052342521379,-1.46242219350069,0.326088789643885,-4.4847361821232,7.3004202998266e-06,3.50575202621982e-05
"Gtpbp6",66.8997906151002,1.17813884367161,0.262721173478696,4.48436960018049,7.31298107396871e-06,3.51065431099977e-05
"H1f0",29.7330232590384,-1.49451968588238,0.333279686963803,-4.48428075379432,7.31602846756444e-06,3.5109879382122e-05
"Upp2",11.9225412283002,-3.97363028359568,0.88640441896324,-4.48286380187875,7.36479375049034e-06,3.53325447528346e-05
"Syngr2",746.066115860634,0.943571271181035,0.210534830754144,4.48178226757599,7.40222443934824e-06,3.55007068628768e-05
"Glul",60.0686211399121,-1.92227215184613,0.429209665552697,-4.47863202095136,7.51229039767811e-06,3.60170042355753e-05
"Setx",120.982517210621,1.04773649354269,0.233967738571596,4.47812377868529,7.53019375151089e-06,3.60912465450546e-05
