"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Gon4l",78.2092548058791,-0.925740423708893,0.25719230418401,-3.59940950272978,0.000318940601760468,0.00132729826375267
"Nf1",47.2245044796488,0.986678240513706,0.274178477083739,3.59867138736917,0.000319847035799137,0.00133069124324068
"Mau2",35.9308589596893,-1.33036324464191,0.369705247225069,-3.59844296132484,0.000320128039990339,0.00133148099344316
"Tmem39a",117.962790932898,-1.43079492290598,0.397766266314764,-3.59707457387486,0.000321816241532479,0.00133812146215797
"Gng5",440.538548516475,1.24323016095062,0.345725932347096,3.59599915606696,0.00032314884568269,0.00134327998676468
"Atp6v0a2",122.181019360675,0.701985940754251,0.195232894811222,3.59563351981758,0.000323603099181538,0.00134458029899951
"Pde8a",72.7411836899716,0.806956433089585,0.224428918716573,3.5955991665614,0.000323645809147659,0.00134458029899951
"Nmnat3",46.2284959241936,0.974893605313718,0.271311367312715,3.59326487116941,0.000326560331505649,0.00135630276478299
"Dubr",33.3001291013643,1.35914373144876,0.378386344543194,3.59194709600205,0.000328216489976793,0.00136240631129366
"Tjp3",15.5691835022149,-1.74399871227744,0.485523407067647,-3.5919971867277,0.000328153393314683,0.00136240631129366
"Dkkl1",3.57121779962847,-4.99919912257346,1.39219960761386,-3.59086376352437,0.000329583888361937,0.00136769352706717
"Gnb3",2.26689946528261,4.91048953202645,1.36781179103228,3.5900330471055,0.000330636040369144,0.00137166991406551
"Dnajb11",269.452512294015,0.543368711929986,0.151361670239204,3.589869952355,0.000330842978399384,0.00137213860084243
"Slc25a43",22.152251713772,2.16061059308685,0.601878332307032,3.58977965663777,0.000330957599613077,0.00137222425529522
"Tspan14",94.8910892450307,0.83792486744063,0.233438241615861,3.5894927139637,0.000331322090828065,0.0013733455839802
"Tox3",4.59128552459947,-4.27347991020965,1.19100321279976,-3.58813466184004,0.000333052269024747,0.00138012550640419
"Mrgbp",74.016586783808,-0.871205142136047,0.242983096099203,-3.58545576265256,0.000336490040677584,0.00139397562099709
