"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Mier3",69.3703691025531,0.926796631660019,0.192243659388847,4.82094772127389,1.42877800699734e-06,2.61545160356905e-05
"Kdm2b",51.72332359988,0.958847522024182,0.199804466982896,4.79892935579995,1.59516041912103e-06,2.91567789108089e-05
"Siah2",51.1094090382011,1.07970550893087,0.225171528632634,4.79503565787128,1.62645897175301e-06,2.96846887816378e-05
"Ccdc28b",27.2929335478914,-1.48998685962083,0.311328722814056,-4.78589590498767,1.70226272036355e-06,3.10220964306016e-05
"Yrdc",125.602686986094,0.901748971916334,0.188677078168778,4.77932444506953,1.75885171565906e-06,3.20058898125041e-05
"Cotl1",1680.56013035408,-0.541472098994396,0.113323446115822,-4.77811183434174,1.769489611184e-06,3.21518356422678e-05
"Rnf166",232.521419114901,-0.698427261143048,0.14619225395814,-4.77745737023133,1.77525670459308e-06,3.2208977994855e-05
"Tmc6",120.491145823229,-0.937482183926733,0.196337714059973,-4.77484516113073,1.7984557518764e-06,3.25817581125336e-05
"Rcan3",19.9677440839546,-1.82050660843353,0.38130536459386,-4.77440596822605,1.80238472537334e-06,3.26048476903693e-05
"Chd3",153.269443257415,-0.848448561792978,0.177730359549783,-4.77379646303661,1.80785096277094e-06,3.26556373172286e-05
"Pnpla2",259.98760947877,0.998696230161773,0.209621485880008,4.76428370865308,1.89525688002362e-06,3.41842000841853e-05
"Cmah",62.7015788655507,-1.40899777136072,0.295776523486434,-4.7637241615809,1.90052263809955e-06,3.42289143163883e-05
"Ldlrap1",20.6065976143077,-1.86452283332813,0.391632438987435,-4.76089988395458,1.92731645461768e-06,3.46606559473924e-05
"Lst1",97.3371882866392,-1.08051689804713,0.227105953305313,-4.75776562578488,1.95747584859371e-06,3.51515728775974e-05
"Nlrc3",14.3873020351297,-1.95375987369457,0.411145341737973,-4.75199321348441,2.01421134920839e-06,3.61176029231046e-05
"Acadm",143.326018256689,-0.926892548284074,0.195092047983096,-4.75105242815629,2.02360651374176e-06,3.6233176105379e-05
"Irf2",317.188194623972,0.812646341296006,0.171225737259159,4.74605251701165,2.07424877851117e-06,3.70319734686813e-05
"Slamf9",38.678875265403,1.75414657570101,0.369582816822938,4.74628823596362,2.07183416902944e-06,3.70319734686813e-05
"Unc119b",57.9022491961034,-0.970113000287924,0.204472744120281,-4.74446119682951,2.09062047682591e-06,3.72700889939807e-05
"Sp140l1",40.9041480425506,1.80546795808071,0.380784437924824,4.74144365751929,2.12200673623738e-06,3.77747952771069e-05
"Inpp5f",48.3366885557578,-1.16920743724739,0.24661516532741,-4.74102002484369,2.12644912015014e-06,3.77990948521045e-05
"Osm",51.6917188979042,1.3166486135715,0.277734210564089,4.74067854621631,2.13003650380246e-06,3.78081479424936e-05
"Slc45a3",28.5023549670185,1.50689710331465,0.318336528823355,4.73366066057353,2.20506269437724e-06,3.90833839466604e-05
"Cbx7",121.424192056255,-0.991375526012513,0.209547925404612,-4.73102047704974,2.2339398327129e-06,3.95381598922371e-05
"A630023P12Rik",11.9855850463389,-2.24943945832941,0.475594225372427,-4.72974510270374,2.24801904952355e-06,3.97300978205724e-05
"Itpr1",84.6807682562606,1.66291105035138,0.351690552439049,4.72833585894967,2.26367517515209e-06,3.99493134718291e-05
"Eif2s2",256.863653448744,0.722186900410899,0.152832039558617,4.72536323205916,2.29704392362422e-06,4.04800437788755e-05
"Rflnb",79.1332530075054,-1.24558297541119,0.263751752385083,-4.72255810301734,2.3289652250077e-06,4.09837820326211e-05
"Asb13",25.5510544038756,2.70588464536458,0.573123457432796,4.72129453134776,2.34348292971553e-06,4.11802586919826e-05
"Rnaset2a",592.388740687121,0.718265453977694,0.15232348523178,4.71539535013107,2.41241862453756e-06,4.23310542359927e-05
"Cd69",347.139007596466,4.08352455722629,0.866301577278838,4.7137448024199,2.43205224235644e-06,4.26146900040858e-05
"Scube3",5.14995553729114,3.72990751546722,0.791332626188875,4.71345094594516,2.43556377646492e-06,4.26154271599981e-05
"Tcn2",173.865960523594,-0.732274763963109,0.155504299506324,-4.70903226655368,2.48895671946493e-06,4.34877032506227e-05
