"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Stx6",0.28,0.55,0.3,1.56,-1.2,-0.71,-0.94,-1.48,0.72,1.21,-0.3
"Prg2",0.71,0.54,0.79,0.66,-1.36,-0.24,-1.75,-1.1,0.49,1.31,-0.05
"Lipn",-0.1,0.95,1.72,1.05,-1.41,-0.56,-0.74,-1.36,-0.23,0.46,0.23
"Dcstamp",0.02,0.74,1.12,1.3,-1.45,-0.14,-1.08,-1.57,-0.14,0.7,0.5
"Sh3tc1",0.08,1.19,1.35,1.16,-1.85,-0.76,-0.7,-0.8,0.47,0.04,-0.2
"Gm16315",-0.12,0.63,1.16,1.41,-1.89,-0.54,-0.79,-0.76,0.78,0.61,-0.48
"Hectd1",0.33,1.21,0.11,1.49,-0.86,-0.66,-1.6,-1.36,0.43,0.35,0.55
"Psph",-0.28,1.12,0.14,1.55,-0.65,-1.42,-1.56,-0.53,0.54,0.2,0.88
"Nubp1",0.05,2.17,0.64,0.8,-0.37,-1.13,-1.32,-0.98,0.29,-0.14,0
"Pum3",0.21,1.84,0.98,0.72,-0.51,-1.33,-1.32,-1.05,-0.04,0.06,0.44
"Slc38a2",-0.01,1.32,0.46,1.22,-0.39,-1.51,-1.14,-1.41,0.72,0.28,0.46
"Blvrb",-0.03,1.45,1.07,0.89,-0.71,-1.16,-1.24,-1.43,0.18,0.41,0.58
"Eif5a",-0.22,1.19,1.2,1.02,-0.56,-1.39,-1.24,-1.3,0.4,0.43,0.47
"Pop1",1.2,1.14,0.69,1.21,-0.98,-1.34,-0.87,-1.05,0.65,-0.25,-0.41
"Gm47586",1.39,0.71,0.23,1.31,-0.98,-1.8,-0.47,-1.03,0.52,0.13,-0.02
"Btg1",1.07,0.91,0.54,1.55,-0.58,-1.11,-1.2,-1,0.42,0.4,-1
"Ywhaz",0.85,0.62,1.08,1.2,-0.26,-1.55,-0.91,-1.44,0.23,0.75,-0.55
"Nkapd1",0.42,0.48,0.79,2.03,-0.74,-0.7,-1.38,-1.23,0.6,-0.23,-0.05
"Klf4",0.05,0.52,0.94,1.61,-0.25,-1.28,-0.98,-1.65,0.9,-0.08,0.24
"Slc30a1",0.49,0.69,1.4,1.26,-1.27,-1.17,-0.45,-1.45,0.12,0.63,-0.24
"Phf20l1",0.94,1.15,0.52,1.62,-0.78,-1.36,-0.53,-1.43,-0.18,0.21,-0.14
"Slc4a11",0.28,1.21,1.08,1.66,-1.09,-1.04,-0.35,-1.41,-0.04,0.06,-0.38
"Chmp2a",0.35,1.41,1.11,1.43,-0.98,-1.24,-0.87,-1.12,0.04,0.18,-0.3
"Cenpt",0.97,0.84,1.55,0.16,-0.49,-1.78,-0.7,-1.26,0.56,0.32,-0.17
"Gsk3b",0.53,1.11,0.77,0.74,-0.24,-1.49,-1.67,-1.2,0.65,0.6,0.19
"Vasn",0.67,0.74,0.55,0.72,-0.35,-1.47,-1.54,-1.36,1.12,0.53,0.38
"Slc4a2",1.04,0.98,0.72,0.76,-0.75,-1.57,-1.37,-1.15,0.64,0.31,0.39
"Acss2",0.62,0.95,0.91,0.51,-0.8,-1.35,-1.48,-1.3,0.55,0.78,0.6
"Cstf2",0.15,0.65,1.25,-0.25,-0.05,-1.25,-1.56,-1.38,0.76,0.75,0.94
"Gm5822",0.56,0.17,1.16,0.04,-1.22,-1.51,-0.73,-1.13,0.96,1.27,0.44
"Actb",0.85,0.67,0.8,0.33,-0.94,-1.46,-1.1,-1.35,1.22,0.36,0.63
"Cdc37",0.09,0.59,0.96,0.17,-0.58,-1.58,-0.64,-1.41,1.81,0.23,0.35
"Renbp",0.81,0.92,0.91,0.85,-1.55,-1.79,-0.4,-0.8,0.01,0.54,0.49
"Gucy1b1",0.42,1.03,1.26,0.24,-1.23,-1.17,-0.66,-1.42,-0.29,0.72,1.1
"Psat1",0.38,0.48,0.89,0.73,-1.18,-1.53,-0.79,-1.39,0.57,0.96,0.89
"Tmem202",-0.23,1.13,0.94,0.96,-1.15,-1.42,-1.02,-1.08,0.32,0.68,0.88
"Flna",0.32,0.86,0.77,0.78,-1.13,-1.26,-1.3,-1.21,0.23,0.9,1.04
"F3",1.13,0.64,0.82,0.97,-1.79,-0.99,-1.07,-0.92,0.57,0.19,0.46
"Mcm6",1.2,0.61,1.13,0.47,-1.5,-0.9,-1.14,-1.23,0.7,0.08,0.57
"Slc45a3",0.86,1,1.59,0.66,-1.57,-1.06,-0.51,-1.2,0.1,0.01,0.11
"Cpeb3",0.65,0.99,1.4,0.23,-2.01,-0.69,-0.48,-1.2,0.32,0.3,0.48
"Mfsd2b",0.6,1.55,0.53,0.51,-1.61,-0.87,-0.24,-1.57,0.88,0.21,0.04
"Nrbp1",0.43,1.32,1.13,0.84,-1.26,-1.37,-0.96,-0.91,0.89,0.15,-0.26
"Ccdc9",0.42,1.7,1.1,0.36,-1.29,-1.38,-0.78,-1.01,0.46,0.36,0.07
"Lsp1",1.38,-0.22,-0.02,-0.88,-2.04,-0.45,-0.07,-0.51,1.09,0.76,0.94
"Mcf2l",0.67,-0.17,0.57,-0.6,-1.91,-0.56,-0.35,-0.97,0.92,1.02,1.38
"Marveld2",0.64,-0.36,0.51,-0.88,-1.95,-0.71,0.05,-0.61,1.06,0.94,1.31
"Larp7",0.54,0.94,0.12,-0.15,-1.82,-0.34,-0.81,-1.25,0.31,1.2,1.26
"Eef1akmt1",0.33,0.73,0.17,-1.1,-1.44,-0.67,-0.13,-1.12,0.34,1.55,1.34
"Rps11",-0.32,-0.07,0.46,0.14,-2,-1.5,0.53,-0.12,1.3,1.06,0.52
"Ckb",-1.36,0.66,0.33,0.42,-2.11,-0.35,-0.04,-0.37,0.68,1.08,1.05
"Eef1a2",-1.35,0.73,0.21,0.59,-1.9,-0.67,-0.43,-0.11,1.1,1.13,0.71
"Mir703",-0.77,0.47,0.66,0.22,-1.95,-1.14,0.14,-0.57,1.45,0.6,0.89
"Rpl10a",-0.85,0.46,0.34,0.25,-1.77,-1.04,-0.2,-0.57,1.69,0.78,0.91
"Ndufb7",-0.88,0.78,0.77,0.3,-1.99,-0.65,-0.31,-0.75,1.26,1.07,0.4
"Lgals1",-0.63,0.7,0.58,0.53,-2.26,-1.04,-0.19,-0.24,1.07,0.8,0.67
"Mgll",-0.74,0.4,0.66,0.79,-2.23,-0.55,-0.36,-0.49,1.39,0.51,0.63
"Rpl10",-0.13,-0.03,0.09,0.28,-1.92,-1.02,0.31,-0.43,2.15,0.48,0.23
"Rps16",-0.28,0.34,0.35,0.02,-1.73,-0.69,0.13,-0.78,2.35,0.18,0.12
"Gm15500",-0.25,0.34,0.23,0.34,-1.68,-0.6,-0.39,-0.84,2.34,0.29,0.21
"Myl6",-0.09,-0.05,0.39,0.42,-1.68,-0.52,-0.38,-0.83,2.37,0.36,0.01
"Rplp2",-0.12,0.47,0.9,0.39,-1.94,-1.46,-0.11,-0.36,1.6,0.27,0.36
"Rpl18",-0.14,0.7,0.27,0.29,-1.71,-1.12,0.29,-0.9,2.03,-0.1,0.38
"Tkt",-0.44,0.41,0.02,0.16,-1.68,-0.59,-0.88,-0.71,1.85,1.06,0.79
"Ryr1",-0.47,0.22,0.3,0.17,-2.06,-0.4,-0.78,-0.51,1.5,0.88,1.15
"Vat1",0.08,0.66,-0.07,0.54,-1.98,-1.07,-0.77,-0.3,1.53,1,0.4
"Ndufs8",-0.04,0.63,0.49,0.63,-1.96,-0.8,-0.8,-0.89,1.47,0.83,0.43
"Pdgfb",-0.59,1.09,0.46,0.53,-1.73,-0.81,-0.71,-0.93,1.49,0.56,0.64
"Eef1d",0.03,0.29,0.16,0.39,-1.7,-0.57,-1.3,-0.45,1.93,0.33,0.89
"Abcg2",0.17,0.3,0.21,-0.15,-1.4,-0.44,-0.97,-1.01,2.29,0.51,0.49
"Srsf9",-0.2,0.72,0.71,-0.21,-1.78,-0.65,-0.76,-0.69,1.91,0.77,0.18
"Lpl",-0.16,0.51,0.33,0.28,-2.2,-0.04,-0.4,-0.94,1.82,0.38,0.43
"Nrp1",-0.26,0.55,0.23,0.35,-2.05,-0.7,-0.44,-0.62,1.91,0.6,0.41
"Scp2-ps2",0.83,-0.33,-0.41,0.39,-1.67,-0.75,-0.83,-0.49,1.73,1.26,0.26
"Gm15503",0.19,-0.64,-0.71,0.22,-0.97,-1.26,-0.5,-0.27,1.96,1.4,0.59
"Ppp2ca",-0.38,-0.53,-0.03,0.78,-1.28,-0.21,-0.96,-1.02,1.95,1.08,0.58
"Gm13835",0.34,0.36,-0.34,0.38,-0.9,-0.62,-0.76,-1.78,1.85,0.9,0.58
"Vwf",0.42,0.08,-0.16,0.03,-1.46,-0.7,-0.79,-1.16,1.83,0.97,0.94
"Ppp1r1a",0.46,-0.08,-0.15,0.22,-1.43,-0.83,-0.98,-1.02,1.47,1,1.35
"Gm43323",-0.17,0.95,0.27,1.34,-1.32,-1.96,-0.1,-0.67,0.6,0.89,0.17
"Gm26532",0.29,0.66,-0.5,0.64,-1.33,-1.25,-0.66,-0.69,-0.12,1.77,1.19
"Atp8a1",0.38,0.08,-0.22,0.97,-1.89,-1.1,-0.27,-0.54,0.01,1.73,0.85
"Tesc",-0.4,0.86,1.02,0.74,-1.18,-0.83,-1.44,-1.13,0.79,0.44,1.12
"Vsig8",0.05,0.61,0.71,0.81,-1.7,-0.67,-1.26,-1.12,0.84,0.69,1.04
"Tob2",-0.04,0.89,0.09,0.87,-1.24,-0.8,-1.19,-1.41,0.58,1.18,1.07
"Cdt1",-0.05,0.84,0.9,0.38,-0.99,-0.86,-1.45,-1.26,0.11,0.99,1.4
"Sod1",-1.09,0.39,0.39,0.68,-0.9,-0.62,-1.37,-0.79,0.41,1.36,1.53
"Gm5962",-0.7,1.15,-0.1,0.49,-0.98,-0.96,-0.95,-0.96,0.31,1.86,0.81
"Chn2",-0.62,0.45,-0.27,0.34,-1.03,-0.81,-1.05,-0.67,0.26,1.92,1.49
"F2rl2",-0.47,-0.27,0.52,1.33,-0.92,-0.86,-0.82,-1.11,-0.17,1,1.77
"Ctla2a",0.46,-0.57,0.51,1.09,-1.29,-0.9,-0.71,-1.06,-0.28,1.23,1.52
"Tet3",-0.16,-0.39,-0.02,0.33,-1.73,-1.05,-0.29,-0.41,0.62,1.24,1.86
"Gm4928",-0.74,-0.2,0.26,0.25,-1.16,-1.13,0.05,-1.13,1.1,0.8,1.88
"BC005537",-0.32,0.67,0.3,1.15,-2.03,0.2,-1.22,-0.92,0.76,0.69,0.71
"Pdlim4",-0.4,0.87,0.23,0.67,-2.18,-0.32,-0.97,-0.42,0.28,1,1.23
"Nes",-0.61,0.66,0.62,0.83,-2.09,-0.51,-0.73,-0.79,0.72,0.89,1.01
"Lrrc32",-0.45,0.99,0.97,0.77,-2.39,-0.35,-0.32,-0.52,1,0.23,0.08
"Kcnn4",-0.22,0.67,1,0.55,-2.61,-0.11,-0.41,-0.52,0.54,0.56,0.56
"Lgals3",-0.36,0.75,0.01,0.45,-2.35,-0.32,-0.39,-0.39,1.18,0.11,1.32
"Ctsb",-0.26,0.3,0.35,0.37,-2.43,-0.43,-0.27,-0.59,1.34,0.85,0.76
"Crip1",-0.03,0.18,0.43,0.39,-2.56,-0.52,-0.24,-0.42,1.11,0.74,0.91
"Nln",1.18,0.7,0.49,0.21,-2.25,0,-0.98,-0.8,0.69,0.84,-0.08
"Eif3k",1.14,0.28,0.43,-0.02,-2.34,-0.18,-0.54,-0.98,0.66,0.68,0.87
"Anapc2",0.95,0.79,0.41,0.89,-2.28,-0.88,-0.48,-0.72,0.62,0.62,0.06
"Rps3",0.91,0.36,0.69,0.79,-2.22,-0.69,-0.6,-0.86,1.13,0.38,0.09
"Rpl12",0.36,0.76,0.62,0.62,-2.22,-0.72,-0.7,-0.93,0.57,0.83,0.82
"Csf2ra",0.22,1.4,0.53,0.82,-2.24,-0.42,-0.82,-0.7,0.64,0.03,0.54
"Rps18",0.47,0.86,0.67,0.93,-2.55,-0.28,-0.23,-0.87,0.28,0.33,0.38
"Sel1l",0.89,0.88,-0.11,0.87,-2.32,-0.82,-0.45,-0.46,-0.01,0.79,0.76
"Dhcr24",0.63,0.58,-0.34,0.5,-2.13,-1.01,-0.1,-0.73,0.26,1.1,1.22
"Ubxn6",0.71,1.12,0.41,0.95,-1.85,-0.91,-0.83,-0.62,-0.56,0.41,1.17
"Anxa11",0.87,0.74,0.48,0.38,-2.4,-0.98,-0.48,-0.22,0.18,0.36,1.07
"Siglecf",-0.28,0.46,0.87,0.63,-2.44,-0.21,-0.22,-0.65,-0.15,0.76,1.22
"Mrc1",0,0.27,0.7,0.89,-2.18,-0.77,-0.15,-0.77,-0.13,1.49,0.67
"Psmg4",0.34,0.31,0.84,1.48,-2.03,-0.29,-0.59,-0.8,-0.67,1.05,0.36
"Vamp3",0.76,0.73,1.19,0.78,-2.08,-0.9,-0.06,-1.02,-0.24,0.81,0.04
"Papss2",0.43,0.94,0.83,1.1,-2.05,-0.45,-0.48,-1.31,-0.1,0.74,0.36
"Rwdd2b",0.53,0.53,0.79,1.3,-1.84,-0.94,-0.48,-1.26,0.09,0.96,0.33
"Gm44291",0.57,0.61,0.18,0.79,-0.79,-0.73,-0.98,-1.02,-0.09,-0.76,2.21
"Pin4-ps",0.96,0.17,1.27,-0.44,-1.37,-0.88,-1.02,-0.69,1.18,-0.42,1.23
"Gm6402",1.43,1.05,1.37,-0.74,-0.99,-0.87,-0.8,-0.87,0.17,-0.67,0.9
"Selp",1.59,0.1,1.15,0.03,-0.98,-0.96,-0.94,-0.67,0.03,-0.84,1.49
"Cd5l",1.66,0.14,0.85,0.64,-0.95,-1.02,-1.3,-1.02,-0.36,0.27,1.1
"Dgcr8",0.97,0.56,0.61,1.24,-1.09,-1.03,-1.42,-1.08,-0.11,0.17,1.17
"Iglc1",1.1,-0.32,1.76,0.8,-1.02,-1.47,-0.76,-0.9,0.2,0,0.6
"Slc14a1",0.53,-0.23,1.81,0.75,-1.28,-0.64,-1.2,-0.92,-0.15,0.13,1.19
"Chst11",2.18,0.36,-0.16,-0.16,-0.62,-1.5,-0.65,-0.85,-0.09,1.05,0.44
"Tpm2",1.6,0.05,0.63,0.13,-1.61,-0.87,-0.91,-0.69,-0.42,0.98,1.11
"Myo1d",1.91,0.14,-0.32,-0.16,-1.63,-0.21,-0.76,-0.89,-0.11,1.13,0.9
"Bzw2",0.76,-0.85,0.01,0.48,0.16,-0.97,-1.76,-0.68,0.04,1.47,1.34
"Mcm5",0.7,0.06,-0.25,-1.15,-0.11,-0.21,-1.75,-0.75,0.8,1.7,0.96
"H4c4",-0.65,-0.11,-0.8,-0.17,0.57,-0.4,0.14,-0.4,2.72,-0.9,0.01
"2900005J15Rik",-1.05,-0.71,-0.78,-0.79,0.75,-0.47,0.98,0.14,2.31,-0.27,-0.11
"Gm55531",-1.15,-0.37,-1.22,-0.8,0.64,0.13,1.04,-0.45,2.11,-0.33,0.39
"Proser3",-0.78,-0.9,-0.94,-0.25,0.29,-1.26,0.13,0.71,2.23,0.11,0.65
"Fancf",-0.39,-0.55,-1.92,-0.68,0.88,-0.37,-0.27,0.68,1.73,-0.1,0.98
"Evi5l",-0.54,-1.01,-1.59,-0.63,0,0.17,0.04,1.17,2.02,-0.15,0.51
"Mrps6",-0.68,-1.28,-1.68,-0.54,0.43,0.12,0.15,0.68,1.89,0.2,0.71
"Med24",-0.69,-1.13,-1.33,-0.83,0.23,-0.35,0.5,0.66,2.08,0.05,0.79
"Ddah2",-0.61,-1.02,-1.43,-0.89,0.44,0.02,0.42,0.54,2.14,-0.27,0.66
"Mrm2",-0.37,-1.48,-1.48,-0.53,-0.05,1.26,0.75,0.75,1.55,-0.27,-0.12
"Trim8",-0.49,-0.57,-1.52,-1.16,0.28,0.52,0.8,0.86,1.87,-0.74,0.15
"Zfp976",-0.95,-0.69,-1.12,-1.13,0.24,1.01,0.92,0.75,1.79,-0.61,-0.21
"Rtl5",-0.72,-0.9,-1.44,-0.48,0.18,0.42,0.64,0.95,2.13,-0.41,-0.36
"Pnkd",-0.64,-1.1,-1,-0.96,0.43,0.79,0.31,0.81,2.12,-0.64,-0.12
"Gspt2",-0.4,-1.06,-1.1,-0.66,0.68,0.66,0.6,0.38,2.19,-0.82,-0.46
"Gm6209",-1.06,-0.52,-0.9,-1.08,-0.62,0.8,0.95,0.77,1.96,-0.48,0.2
"Arhgap27os2",-0.95,-0.49,-1.26,-0.91,-0.64,0.96,-0.14,1.2,1.88,0.05,0.31
"Thada",-0.94,-0.79,-0.96,-1.66,0.28,0.84,0.57,0,1.81,0.64,0.21
"Dync2i1",-1.02,-0.58,-1.08,-1.53,0,0.63,0.07,0.64,1.95,0.31,0.62
"Prune2",-0.6,-0.72,-1.11,-1.62,-0.08,0.91,-0.01,0.19,1.91,0.38,0.75
"Miga2",-1.68,-0.22,-0.98,-1.19,0.05,0.81,0.53,0.65,1.84,0.1,0.1
"Hdac6",-1.4,-0.54,-1.25,-0.93,-0.12,0.55,0.19,0.71,2.01,0.14,0.65
"Rmdn1",-1.33,-0.71,-1.45,-0.88,0.35,0.62,0.3,0.62,1.93,0.19,0.36
"Idh2",-1.32,-0.45,-1.1,-1.02,-0.14,0.49,-0.19,0.37,2.12,0.38,0.86
"Hyi",-1.25,-0.56,-1.35,-1.06,-0.1,0.43,0.3,0.6,1.99,0.71,0.28
"Frat1",-1.03,-0.74,-1.21,-1.22,-0.11,0.14,0.22,0.78,2.01,0.7,0.46
"Arfip2",-1.66,-0.54,-0.49,-0.56,0.38,0.29,0.26,-0.1,2.47,-0.06,0.02
"Cog7",-1.01,-0.54,-1.16,-0.84,-0.34,0.68,0.15,0.38,2.41,0.25,0.02
"Cyb5r1",-1.26,-0.95,-0.77,-0.67,0.01,0.9,-0.04,0.04,2.36,0.21,0.17
"Akap8l",-0.97,-1.14,-0.78,-1.11,0.24,0.47,0.26,0.18,2.32,0.17,0.35
"Dtx3",-1.34,-1.32,-0.93,-0.81,0.48,0.19,0.87,0.72,1.71,-0.21,0.65
"Arrdc2",-1.52,-1.06,-0.64,-1.1,0.83,0.2,0.68,0.78,1.68,-0.31,0.47
"Lrrc28",-1.35,-1.07,-0.81,-0.96,0.69,0.59,0.55,0.57,1.87,-0.53,0.45
"Cd37",-1.41,-0.65,-1.04,-0.97,0.02,0.11,1.13,0.44,1.94,-0.13,0.56
"Pold1",-1.23,-0.77,-1.07,-1.1,0.56,0.24,0.75,0.44,2.08,-0.15,0.26
"Rab6b",-1.4,-1.24,-1.01,-0.54,-0.01,0.74,0.71,0.62,1.85,0.51,-0.23
"Spaca9",-1.27,-1.43,-0.64,-0.79,0.51,0.77,0.82,0.66,1.78,0.02,-0.41
"Oaz2",-1.64,-0.98,-0.72,-0.6,0.34,0.73,0.74,0.74,1.87,-0.47,-0.01
"Gatd1",-1.35,-1.02,-1.13,-0.32,0.38,0.38,0.57,0.67,2.14,0.05,-0.36
"Unc13d",-1.44,-0.88,-0.92,-0.65,0.68,-0.02,0.76,0.96,1.95,-0.13,-0.29
"Gmfg",-0.14,-1.36,-0.61,-1.49,0.48,0.12,1.19,0.55,1.72,0.29,-0.74
"Mzt2",0.07,-1.19,-1.03,-1.66,0.78,0.6,0.65,0.06,1.72,0.45,-0.46
"Tmed3",-0.63,-1.14,-0.79,-1.41,0.62,-0.54,0.76,0.27,2.01,0.45,0.4
"Apba3",-0.37,-0.96,-0.98,-1.4,1.45,-0.37,0.11,0.35,1.9,0.08,0.2
"Kif22",-0.37,-1.09,-1.01,-1.61,0.51,0.09,0.55,0.83,1.91,-0.15,0.33
"Rfxank",-0.3,-1.11,-1.16,-1.65,1.02,0.06,0.75,0.71,1.47,-0.27,0.5
"Acap1",-0.81,-1.22,-1.03,-1.33,0.91,-0.01,0.73,0.69,1.72,-0.1,0.46
"Desi1",-0.27,-1.36,-0.95,-1.24,1.12,0.2,0.71,0.65,1.65,-0.78,0.26
"Prss36",-0.25,-1.24,-0.9,-1.3,1.28,-0.18,0.86,0.11,1.85,-0.25,0.01
"Gm14853",-0.12,-1.16,-0.45,-1.22,0.07,-0.18,0.28,-0.59,2.46,0.4,0.52
"Gm20342",0.04,-0.94,-0.98,-0.99,-0.05,-0.35,0.49,-0.79,2.32,0.59,0.67
"Fkbp11",0.62,-1.11,-1.2,-1.05,0.09,-0.14,0.05,-0.04,2.34,0.56,-0.12
"Nans",0.28,-1.63,-1.1,-1.22,0.08,0.21,0.41,0.02,1.96,0.55,0.44
"Ivd",-0.79,-0.72,-0.27,-1.83,-0.15,0.05,0.24,0.36,2.06,0.07,0.99
"Pdgfa",-0.24,-1.05,-1.1,-1.25,-0.15,-0.27,-0.01,0.02,1.9,0.92,1.22
"2900026A02Rik",-0.39,-1.27,-0.97,-1.32,-0.11,-0.02,0.26,0.09,1.97,0.74,1.01
"Ift46",-0.11,-1.05,-0.94,-1.72,-0.1,0.22,-0.07,0.31,1.85,0.59,1.04
"Mfsd11",-0.03,-1.19,-1.13,-1.28,0.21,0.02,-0.1,0.27,2.19,0.21,0.84
"Vill",-0.48,-1.38,-0.57,-0.66,0.01,-0.14,0.09,0.21,2.63,-0.05,0.34
"Eri3",-0.78,-0.73,-1.11,-0.84,0.17,-0.26,0.18,0.18,2.54,0.12,0.53
"Miip",-0.76,-0.97,-0.79,-1.18,-0.11,0.05,0.07,0.04,2.36,0.47,0.82
"2410002F23Rik",-0.58,-1.01,-1.1,-0.89,0.06,-0.29,0,0.15,2.39,0.5,0.76
"Limk1",-0.71,-0.74,-0.64,-1.28,0.06,0.47,-0.08,0.39,2.47,0.48,-0.42
"Rab44",-0.59,-0.71,-0.61,-1.64,0.36,0.06,0.41,0.23,2.35,0.35,-0.21
"Mast4",-0.26,-1.32,-1,-1.45,-0.04,0.24,0.29,0.47,2,0.79,0.29
"Tspan32",-0.77,-1.32,-0.75,-1.11,0.24,0.07,0.11,0.12,2.2,0.92,0.29
"Dctn5",-1.05,-1.36,-0.93,-1.01,0.46,0.4,0.41,0.84,1.91,0.51,-0.17
"Shkbp1",-0.75,-1.23,-0.82,-1.13,0.42,-0.15,-0.04,1,2.02,0.83,-0.15
"Mrps36-ps1",0.05,-0.44,-1.11,-0.79,0.27,0.54,-0.57,0.17,2.64,-0.45,-0.29
"Hycc1",0.06,-0.48,-1.16,-1.54,-0.13,0.17,-0.05,0.21,2.41,0.36,0.13
"Gm4929",0.14,-0.24,-0.73,-1.29,-0.18,-0.26,-0.19,0.7,2.62,-0.08,-0.5
"Ccr1",0.08,-0.71,-1.08,0.02,0.11,-0.36,-0.26,0.29,2.71,-0.81,0.01
"Fads2",0.02,-0.86,-0.78,-0.63,-0.3,-0.18,0.05,-0.24,2.84,0.01,0.06
"A530088E08Rik",0.1,-0.66,-1.27,-0.74,0.21,-0.35,-0.28,0.13,2.66,0.19,0.01
"Rpl39",0.49,-0.38,-0.28,-0.8,-0.7,-0.44,-0.06,0.2,2.79,-0.59,-0.25
"Rps15a",0.8,-0.41,-0.98,-0.35,-0.92,-0.27,-0.45,-0.18,2.61,0.34,-0.2
"Rpl36a-ps2",0.28,-0.01,-0.81,-0.83,-0.71,0.15,-0.49,-0.13,2.78,0.05,-0.28
"Hsbp1l1",0.33,-0.55,-0.58,-0.58,-0.37,0.13,-0.82,0.14,2.8,-0.03,-0.48
"Sult2b1",-1.07,-0.67,-0.74,-0.29,-0.72,0.1,0.39,0.1,2.62,-0.16,0.44
"Gm5637",-0.75,-0.2,-0.56,-0.57,-0.59,0.11,0.43,-0.17,2.82,-0.43,-0.07
"Gm5558",-0.55,-0.82,-0.76,-0.42,-0.32,-0.42,0.78,0.8,2.47,0.03,-0.79
"Sars",-1.2,-0.45,-0.39,-0.2,0.1,-0.56,0.21,0.11,2.77,-0.09,-0.3
"Rpsa-ps10",-1.09,-0.58,-0.01,-0.27,-0.45,-0.96,0.34,0.17,2.65,0.28,-0.08
"Gm12989",-0.47,0.6,-0.41,-0.68,-0.58,-0.87,-0.18,-0.11,2.67,0.54,-0.51
"Gm15349",-0.16,0.13,-0.96,-0.97,-0.32,-0.9,-0.18,0.5,2.56,0.53,-0.22
"Rn18s-rs5",-0.27,0.42,-0.63,-0.54,-1.07,-1.15,0.58,0.29,2.35,-0.55,0.57
"Dcxr",-0.44,-0.08,-0.64,-0.34,-1.29,-0.74,0.36,0.08,2.6,0.08,0.42
"Gm13436",-0.75,0.16,-0.23,-0.12,-0.87,-0.69,0.12,-0.19,2.79,-0.47,0.25
"Gm8520",-0.46,-0.54,-0.57,-0.57,-0.51,-0.18,2.09,-0.46,1.92,-0.25,-0.48
"Clec4a2",0.61,-1.08,-0.91,-0.93,-0.03,-0.69,0.56,-0.53,1.52,1.81,-0.33
"Npm1",0.97,-0.9,-0.24,-0.5,-0.62,-0.63,0.05,-0.48,2.33,0.88,-0.86
"Rps4x",0.81,-1.3,-0.25,-0.57,-0.72,-0.35,0.24,-0.33,2.26,0.92,-0.71
"Celsr1",-0.41,-0.66,-0.73,-0.75,-0.33,0.58,-0.15,-0.71,2.3,1.34,-0.48
"Bach1",-0.58,-0.93,-0.87,0.05,-0.74,0.44,-0.49,-0.33,2.3,1.28,-0.13
"Dscc1",-0.55,-0.65,-0.69,0.12,-0.43,0.58,-0.33,-0.96,2.39,1.1,-0.58
"Clec12a",0.4,-0.73,-0.07,-0.59,-1.94,-0.07,0.19,-0.41,2.03,0.89,0.29
"Strn",0.13,-0.25,-1.06,-0.59,-1.06,0.06,0.25,-1.25,1.96,1.22,0.6
"Rps11-ps2",0.02,0.05,-0.57,-0.34,-1.39,-0.6,0.13,-0.39,2.59,0.61,-0.12
"Gfra2",-0.62,-0.5,-0.86,-0.32,-0.95,-0.25,-0.05,-0.11,2.4,1.33,-0.07
"Rpl18-ps2",0.52,0.58,-0.74,0.2,0.03,-0.71,-0.56,-1.32,2.43,0.15,-0.57
"Vps4b",-0.08,0.85,0.23,0.36,-0.86,-0.7,-1.22,-1.06,2.27,0.3,-0.08
"Neto2",-0.39,1,0.66,0.08,-0.41,-0.32,-1.4,-1.09,2.19,0.13,-0.44
"P2rx1",0.17,0.19,0.52,-0.42,-1.22,-0.71,0.02,-0.34,2.57,-0.88,0.1
"Gm5047",-0.45,0.7,-0.57,-0.58,-0.87,-0.34,0.13,-0.83,2.65,-0.07,0.24
"Gm42725",0.2,0.07,-0.49,0.03,-0.77,-0.74,0.07,-0.73,2.77,-0.58,0.17
"Gm17949",-0.1,0.29,-0.33,-0.03,-0.83,-0.53,-0.6,-0.31,2.87,-0.08,-0.35
"mt-Nd2",-0.25,-0.08,-0.41,-0.31,-0.73,-0.69,-0.38,-0.26,2.89,-0.08,0.31
"F630028O10Rik",0.12,0.01,-0.4,-0.41,-0.34,-0.61,-0.59,-0.3,2.91,-0.47,0.09
"Gm9892",-0.22,0.27,0.45,0.35,-1.05,-0.59,-0.2,-0.76,2.66,-0.41,-0.48
"mt-Rnr1",-0.11,-0.19,0.17,0.16,-1.33,-0.12,-0.38,-0.29,2.72,0.07,-0.7
"Uqcrb",-0.75,0.16,-0.06,0.36,-0.61,-0.85,-0.37,0.09,2.78,-0.23,-0.51
"Rpl19-ps7",-0.15,-0.44,-0.17,1.18,-0.8,-0.63,-0.27,-0.51,2.58,-0.42,-0.37
"Mir6236",-0.1,0.37,-0.17,0.01,-0.8,-1.36,-0.84,-0.43,2.44,0.21,0.67
"Alyref",-0.21,0.55,0.04,0.6,-0.74,-0.84,-1.06,-0.76,2.51,-0.21,0.13
